fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
9.100,0.765,0.040,1.600,0.078,4.000,14.000,0.998,3.290,0.540,9.700,4
8.700,0.690,0.310,3.000,0.086,23.000,81.000,1.000,3.480,0.740,11.600,6
6.100,0.210,0.400,1.400,0.066,40.500,165.000,0.991,3.250,0.590,11.900,6
10.900,0.390,0.470,1.800,0.118,6.000,14.000,0.998,3.300,0.750,9.800,6
8.800,0.685,0.260,1.600,0.088,16.000,23.000,0.997,3.320,0.470,9.400,5
8.400,1.035,0.150,6.000,0.073,11.000,54.000,0.999,3.370,0.490,9.900,5
8.200,0.390,0.490,2.300,0.099,47.000,133.000,0.998,3.380,0.990,9.800,5
6.300,0.550,0.150,1.800,0.077,26.000,35.000,0.993,3.320,0.820,11.600,6
8.000,0.500,0.390,2.600,0.082,12.000,46.000,0.999,3.430,0.620,10.700,6
8.200,0.640,0.270,2.000,0.095,5.000,77.000,0.997,3.130,0.620,9.100,6
11.500,0.180,0.510,4.000,0.104,4.000,23.000,1.000,3.280,0.970,10.100,6
6.500,0.670,0.000,4.300,0.057,11.000,20.000,0.995,3.450,0.560,11.800,4
8.900,0.120,0.450,1.800,0.075,10.000,21.000,0.996,3.410,0.760,11.900,7
7.100,0.610,0.020,2.500,0.081,17.000,87.000,0.997,3.480,0.600,9.700,6
7.200,0.630,0.000,1.900,0.097,14.000,38.000,0.997,3.370,0.580,9.000,6
11.300,0.340,0.450,2.000,0.082,6.000,15.000,0.999,2.940,0.660,9.200,6
6.200,0.560,0.090,1.700,0.053,24.000,32.000,0.994,3.540,0.600,11.300,5
6.200,0.520,0.080,4.400,0.071,11.000,32.000,0.996,3.560,0.630,11.600,6
12.500,0.280,0.540,2.300,0.082,12.000,29.000,1.000,3.110,1.360,9.800,7
6.400,0.570,0.140,3.900,0.070,27.000,73.000,0.997,3.320,0.480,9.200,5
7.800,0.440,0.280,2.700,0.100,18.000,95.000,0.997,3.220,0.670,9.400,5
8.700,0.420,0.450,2.400,0.072,32.000,59.000,0.996,3.330,0.770,12.000,6
10.200,0.440,0.580,4.100,0.092,11.000,24.000,0.997,3.290,0.990,12.000,7
5.600,0.540,0.040,1.700,0.049,5.000,13.000,0.994,3.720,0.580,11.400,5
7.800,0.590,0.180,2.300,0.076,17.000,54.000,0.998,3.430,0.590,10.000,5
13.700,0.415,0.680,2.900,0.085,17.000,43.000,1.001,3.060,0.800,10.000,6
9.900,0.740,0.190,5.800,0.111,33.000,76.000,0.999,3.140,0.550,9.400,5
7.400,0.490,0.270,2.100,0.071,14.000,25.000,0.994,3.350,0.630,12.000,6
7.000,0.685,0.000,1.900,0.099,9.000,22.000,0.996,3.340,0.600,9.700,5
7.200,0.570,0.050,2.300,0.081,16.000,36.000,0.996,3.380,0.600,10.300,6
8.400,0.290,0.400,1.700,0.067,8.000,20.000,0.996,3.390,0.600,10.500,5
7.400,0.530,0.120,1.900,0.165,4.000,12.000,0.997,3.260,0.860,9.200,5
7.100,0.160,0.440,2.500,0.068,17.000,31.000,0.993,3.350,0.540,12.400,6
12.300,0.390,0.630,2.300,0.091,6.000,18.000,1.000,3.160,0.490,9.500,5
10.200,0.540,0.370,15.400,0.214,55.000,95.000,1.004,3.180,0.770,9.000,6
10.400,0.550,0.230,2.700,0.091,18.000,48.000,0.999,3.220,0.640,10.300,6
9.400,0.430,0.240,2.800,0.092,14.000,45.000,0.998,3.190,0.730,10.000,6
9.000,0.580,0.250,2.000,0.104,8.000,21.000,0.998,3.270,0.720,9.600,5
