x,y
0.0,159.93428306022466
1.0,297.2347139765763
2.0,462.95377076201385
3.0,630.4605971281605
4.0,745.3169325055333
5.0,895.3172608610164
6.0,1081.5842563101478
7.0,1215.3486945830582
8.0,1340.610512281301
9.0,1510.8512008717194
10.0,1640.7316461437508
11.0,1790.6854049285948
12.0,1954.8392454313207
13.0,2061.734395106844
14.0,2215.5016433497394
15.0,2388.7542494151808
16.0,2529.7433775933114
17.0,2706.2849466519056
18.0,2831.8395184895758
19.0,2971.7539259732944
20.0,3179.312975378431
21.0,3295.484473990269
22.0,3451.3505640937583
23.0,3571.505036275731
24.0,3739.112345509496
25.0,3902.2184517941973
26.0,4026.980128451554
27.0,4207.513960366913
28.0,4337.987226201624
29.0,4494.166125004134
30.0,4637.965867755412
31.0,4837.045563690179
32.0,4949.730055505242
33.0,5078.845781420882
34.0,5266.450898242064
35.0,5375.583127000579
36.0,5554.177271900096
37.0,5660.806597522404
38.0,5823.436279022031
39.0,6003.937224717382
40.0,6164.769331599909
41.0,6303.427365623799
42.0,6447.687034352235
43.0,6593.977926088214
44.0,6720.4295601926515
45.0,6885.603115832106
46.0,7040.787224580804
47.0,7221.142444524378
48.0,7356.872365791369
49.0,7464.739196892745
50.0,7656.481679387896
51.0,7792.2983543916735
52.0,7936.461559993881
53.0,8112.233525776817
54.0,8270.619990449919
55.0,8418.625602382324
56.0,8533.215649535547
57.0,8693.815752482975
58.0,8856.625268628071
59.0,9019.510902542446
60.0,9140.416515243094
61.0,9296.286820466723
62.0,9427.87330051988
63.0,9576.075867518386
64.0,9766.250516447884
65.0,9927.124800571417
66.0,10048.559797568394
67.0,10220.07065795784
68.0,10357.232720500953
69.0,10487.097604907898
70.0,10657.227912110167
71.0,10830.76073132932
72.0,10949.283479217802
73.0,11131.29287311628
74.0,11197.605097918206
75.0,11416.438050087505
76.0,11551.740941364764
77.0,11694.019852990683
78.0,11851.83521553071
79.0,11960.248621707982
80.0,12145.60656224325
81.0,12307.142251430236
82.0,12479.55788089483
83.0,12589.634595634527
84.0,12733.830127942136
85.0,12889.96485912831
86.0,13068.308042354041
87.0,13206.575022193194
88.0,13339.40479592466
89.0,13510.265348662268
90.0,13651.941550986961
91.0,13819.372899810658
92.0,13935.958938122452
93.0,14093.446757068044
94.0,14242.157836937356
95.0,14370.729701037357
96.0,14555.922405541292
97.0,14705.221105443597
98.0,14850.102269132849
99.0,14995.308257332497
100.0,15121.692585158991
